Time,Sound,Light
12:21:47,975,560
12:21:48,989,560
12:21:49,989,560
12:21:50,977,560
12:21:51,977,560
12:21:52,967,560
12:21:53,967,562
12:21:54,990,562
12:21:55,990,560
12:21:56,977,560
12:21:57,977,562
12:21:58,977,562
12:21:59,977,561
12:22:00,990,561
12:22:01,990,558
12:22:02,977,558
12:22:03,977,559
12:22:04,978,559
12:22:05,978,558
12:22:06,988,558
12:22:07,988,559
12:22:08,978,559
12:22:09,978,560
12:22:10,978,560
12:22:11,978,558
12:22:12,983,558
12:22:13,983,558
12:22:14,978,558
12:22:15,978,561
12:22:17,977,561
12:22:18,977,560
12:22:19,981,560
12:22:20,981,557
12:22:21,976,557
12:22:22,976,559
12:22:23,977,559
12:22:24,977,561
12:22:25,979,561
12:22:26,979,558
12:22:27,976,558
12:22:28,976,559
12:22:29,964,559
12:22:30,964,560
12:22:31,978,560
12:22:32,978,559
12:22:33,974,559
12:22:34,974,560
12:22:35,977,560
12:22:36,977,560
12:22:37,977,560
12:22:38,977,559
12:22:39,984,559
12:22:40,984,558
12:22:41,976,558
12:22:42,976,559
12:22:43,976,559
12:22:44,976,559
12:22:45,985,559
12:22:46,985,560
12:22:47,975,560
12:22:48,975,559
12:22:49,976,559
12:22:50,976,560
12:22:51,987,560
12:22:52,987,561
12:22:53,972,561
12:22:54,972,561
12:22:55,974,561
12:22:56,974,560
12:22:57,988,560
12:22:58,988,560
12:22:59,972,560
12:23:00,972,559
12:23:01,974,559
12:23:02,974,557
12:23:03,989,557
12:23:04,989,561
12:23:05,977,561
12:23:06,977,560
12:23:07,976,560
12:23:08,976,560
12:23:09,989,560
12:23:10,989,560
12:23:11,977,560
12:23:12,977,559
12:23:13,964,559
12:23:14,964,561
12:23:15,990,561
12:23:16,990,558
12:23:18,981,558
12:23:19,981,561
12:23:20,958,561
12:23:21,958,559
12:23:22,972,559
12:23:23,972,558
12:23:24,959,558
12:23:25,959,560
12:23:26,962,560
12:23:27,962,560
12:23:28,969,560
12:23:29,969,557
12:23:30,960,557
12:23:31,960,557
12:23:32,960,557
12:23:33,960,562
12:23:34,965,562
12:23:35,965,559
12:23:36,959,559
12:23:37,959,557
12:23:38,960,557
12:23:39,960,559
12:23:40,962,559
12:23:41,962,559
12:23:42,960,559
